SAN PEDRO,,CR59,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,26.80,M2,117.93,59
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,150.00,M2,11.07,59
10031512,REUBICACION DE TAPIAL DE PROTECCION,18.50,M2,102.99,59
10031514,TAPIAL DE PROT. C/ CUBIERTA TRIPLAY PARA,48.20,M2,145.52,59
10031515,TRAZO Y NIVELACION DE TERRENO CON E. MAN,168.20,M2,7.69,59
10031518,DEMOLICION ELEMENTOS ESTRUCT. ACERO REFO,2.90,M3,879.07,59
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,50.40,M2,48.05,59
10031533,DEMOLICION MURO DE BLOCK HUECO 15X20X40,33.30,M2,79.73,59
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,29.35,M2,46.62,59
10031542,"DEMOLICION DE ZOCLO CERAMICO, MARMOL O G",2.80,MTO,24.31,59
10031545,"DEMOLICION DE CIELO FALSO DE TABLAROCA,",27.20,M2,46.58,59
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,39.30,M2,37.24,59
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,45.95,M2,55.66,59
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,4.00,UND,296.14,59
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1.00,UND,155.39,59
10031557,"DESINST. DE SALIDA P/TELEFONO, INCLUYE:",8.00,UND,61.73,59
10031559,"DESINSTALACION DE SALIDA PARA CONTACTO,",28.00,UND,61.73,59
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,14.00,UND,65.18,59
10031562,DESINSTALACION DE LUMINARIA INCANDESCENT,10.00,UND,62.29,59
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,4.00,UND,124.54,59
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,32.00,MTO,51.94,59
10031570,DESINSTALACION DE REJILLAS Y DIFUSORES C,8.00,UND,73.84,59
10031584,DESMONTAJE DE EXTINTORES CON RECUPERACIO,1.00,UND,115.32,59
10031585,DESINST Y RETIRO DE ANUNCIO LUMIN. FACHA,1.00,MTO,802.89,59
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,7.00,UND,156.90,59
10031587,RETIRO DE SEÑALIZACION EN PUERTAS DE ACC,1.00,LE,153.52,59
10031588,RETIRO DE ANUNCIO DE SEÑALIZACION DETRAS,4.00,UND,189.47,59
10031596,DESINST DE TERMOSTATO C/RECUPERACION,1.00,UND,56.16,59
10031603,DESINSTALACION DE T.V. TIPO PLASMA,1.00,UND,620.15,59
10031605,DESINSTALACIÓN DE ANUNCIO ATM EN FACHADA,1.00,UND,450.00,59
10031611,DESCONECCION DE CAJERO AUTOMATICO,2.00,UND,638.73,59
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,2.00,UND,662.18,59
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,2.00,UND,483.09,59
10031616,DESINST. DE M. METALICO A BASE T. RED.,2.00,UND,830.85,59
10031619,DESINSTALACION DE FLECHA O MARQUESINA,1.00,UND,447.22,59
10031620,RANURADO DE FIRME DE CONC. SECC.05X10CMS,3.20,MTO,98.65,59
10031657,SYC DALA DE DESPLANTE 15X20cm,5.45,MTO,343.58,59
10031658,SYC CASTILLO 15x15cm DE CONCRETO,51.50,MTO,323.02,59
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,13.00,UND,128.95,59
