GARZA SADA,,CR590,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,28.00,M2,117.93,590
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,100.00,M2,11.07,590
10031512,REUBICACION DE TAPIAL DE PROTECCION,14.00,M2,102.99,590
10031514,TAPIAL DE PROT. C/ CUBIERTA TRIPLAY PARA,30.25,M2,145.52,590
10031515,TRAZO Y NIVELACION DE TERRENO CON E. MAN,140.90,M2,7.69,590
10031522,DEMOLICION FIRME DE CONCRETO 12cm PROMED,28.60,M2,120.90,590
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,13.05,M2,48.05,590
10031533,DEMOLICION MURO DE BLOCK HUECO 15X20X40,21.00,M2,79.73,590
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,132.85,M2,46.62,590
10031542,"DEMOLICION DE ZOCLO CERAMICO, MARMOL O G",7.00,MTO,24.31,590
10031545,"DEMOLICION DE CIELO FALSO DE TABLAROCA,",46.20,M2,46.58,590
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,57.60,M2,37.24,590
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,30.35,M2,55.66,590
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,4.00,UND,296.14,590
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1.00,UND,155.39,590
10031557,"DESINST. DE SALIDA P/TELEFONO, INCLUYE:",3.00,UND,61.73,590
10031559,"DESINSTALACION DE SALIDA PARA CONTACTO,",9.00,UND,61.73,590
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,18.00,UND,65.18,590
10031562,DESINSTALACION DE LUMINARIA INCANDESCENT,11.00,UND,62.29,590
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,7.00,UND,124.54,590
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,25.00,MTO,51.94,590
10031570,DESINSTALACION DE REJILLAS Y DIFUSORES C,4.00,UND,73.84,590
10031584,DESMONTAJE DE EXTINTORES CON RECUPERACIO,1.00,UND,115.32,590
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,6.00,UND,156.90,590
10031587,RETIRO DE SEÑALIZACION EN PUERTAS DE ACC,1.00,LE,153.52,590
10031588,RETIRO DE ANUNCIO DE SEÑALIZACION DETRAS,6.00,UND,189.47,590
10031596,DESINST DE TERMOSTATO C/RECUPERACION,1.00,UND,56.16,590
10031603,DESINSTALACION DE T.V. TIPO PLASMA,1.00,UND,620.15,590
10031605,DESINSTALACIÓN DE ANUNCIO ATM EN FACHADA,1.00,UND,450.00,590
10031611,DESCONECCION DE CAJERO AUTOMATICO,2.00,UND,638.73,590
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,2.00,UND,662.18,590
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,2.00,UND,483.09,590
10031615,DESINST. DE M. DE ACCESO CON RECUPERAC.,1.00,UND,1361.89,590
10031616,DESINST. DE M. METALICO A BASE T. RED.,2.00,UND,830.85,590
10031620,RANURADO DE FIRME DE CONC. SECC.05X10CMS,13.50,MTO,98.65,590
10031657,SYC DALA DE DESPLANTE 15X20cm,5.45,MTO,343.58,590
10031658,SYC CASTILLO 15x15cm DE CONCRETO,43.60,MTO,323.02,590
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,11.00,UND,128.95,590
10031662,SYCOL. CASTILLO 15x20cm C/ARMEX,31.35,MTO,347.97,590
10031665,SYC MURO DE BLOCK RELLENO15X20X40,32.70,M2,351.65,590
10031673,SYCOC DE ZARPEO Y AFINE MUROS 0-4m,5.45,M2,137.99,590
10031705,SYCOC DE MURO DE TABLAROCA UNA CAR,4.00,M2,212.22,590
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,8.20,M2,306.97,590
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,107.00,M2,925.10,590
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,44.55,M2,228.79,590
10031710,"FALDON, PECHERA, CAJILLO 30 A 50cm DESAR",8.50,MTO,219.00,590
10031711,"FALDON, PECHERA, CAJILLO 51 A 80cm DESAR",7.55,MTO,262.00,590
10031712,"FALDON, PECHERA, CAJILLO 81 A 120cm DESA",4.85,MTO,341.00,590
10031779,SYC MUEBLE IPADS 2.38X1.00 MADERA PINO,1.00,UND,9695.38,590
10031781,SYC DE MUEBLE DETRÁS DE CAJAS,1.00,UND,12540.00,590
10031784,"COL. MINI MAMPARA TIPO K,SUM BANORTE",3.00,UND,2250.00,590
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1.00,UND,760.00,590
10031819,"SYC CANCEL DE ALUMINIO 3"" CUPRUM",17.20,M2,1001.84,590
10031821,SYC DE COSTILLAS DE CRISTAL 9mm,7.20,MTO,268.92,590
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,6.10,M2,2440.00,590
10031838,SYC PELICULA SEGUR SECURE BL22,37.85,M2,1590.00,590
10031842,SYC DE TOPE DE PISO MEDIA LUNA,4.00,UND,95.30,590
10031848,      COL DE PELICULA DE ESMERILA 0.15,8.80,MTO,113.54,590
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",61.90,KG,35.50,590
10031861,SUM. FABRIC. Y COLOC. SOPORTE P/PANTALLA,1.00,UND,778.00,590
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,32.00,SAL,805.00,590
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,3.00,SAL,1186.00,590
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,23.00,SAL,1234.00,590
10031887,SUM E INST DE SALIDA P/LETRERO LUMINOSO,1.00,SAL,1370.00,590
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,1.00,SAL,5100.00,590
10031892,SUM. E INST. DE SALIDA PARA FAN AND COIL,1.00,SAL,2500.00,590
10031895,SYCOL. DE LUMINARIA SPOT CO1054B,1.00,UND,895.36,590
10031896,SUM. E INST. DE LUMINARIA DE EMERGENCIA,2.00,UND,1232.01,590
10031899,REUBICACION DE LUMINARIA  A CUALQUIER AL,2.00,UND,450.00,590
10031900,INSTALACION DE LUMINARIA DE RECUPERACION,2.00,UND,350.00,590
10031905,SYC REFLECTOR T-DIR CONSTRULITA RE1085BB,5.00,UND,735.00,590
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,14.00,UND,1350.00,590
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,17.00,SAL,1150.00,590
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,135.00,KG,54.00,590
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",221.00,FT2,14.30,590
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",2.00,MTO,177.85,590
10031930,"DIFUSOR DE RETORNO 24""X24"" ADAPTADOR 12""",2.00,UND,733.93,590
10031934,"SYCOL. DE DIFUSOR 4v. 9""x 9"" SIN",2.00,UND,648.39,590
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1.00,LE,2061.01,590
10031955,SUJECION DE REJILLAS DE RETORNO E INYECC,1.00,LE,1203.00,590
10031956,S. FABRIC Y COL CHAROLA DE LAMINA P/COND,1.00,UND,844.00,590
10031961,"SYC REJILLA  DE RETORNO 16""X14""",1.00,UND,469.08,590
10031968,"DESINST. DE PUERTA BLINDADA (POO, PVT) C",1.00,UND,1534.00,590
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,2.00,UND,1809.00,590
10031984,COLOC. DE CAJA FUERTE CHICA ROTARY SUMIN,1.00,UND,688.00,590
10031985,COLOC. DE VENTANA BLINDADA Y ROTOTRANSFE,1.00,UND,1657.00,590
10031986,"SUM. E INST. DE SALIDA DE SEGURIDAD, INC",30.00,SAL,825.00,590
10031990,"SUM, Y COLOLOC. DE  GUARDAPOLVO P/PUERTA",2.00,UND,226.00,590
10032023,COLOCACION DE SEÑALIZACION SUM/BANORTE,25.00,UND,106.67,590
10032031,COLOCACION DE CALCAMONIAS DE SEGURIDAD S,15.00,UND,54.40,590
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,3.00,JOR,893.00,590
10032033,"COLOCACION DE EXTINGUIDORES EN MURO, INC",2.00,UND,106.64,590
