CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,32.5,M2,117.93,172
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,150,M2,11.07,172
10031512,REUBICACION DE TAPIAL DE PROTECCION,16.5,M2,102.99,172
10031514,TAPIAL DE PROT. C/ CUBIERTA TRIPLAY PARA,52.95,M2,145.52,172
10031515,TRAZO Y NIVELACION DE TERRENO CON E. MAN,253.85,M2,7.69,172
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,156.5,M2,48.05,172
10031533,DEMOLICION MURO DE BLOCK HUECO 15X20X40,108.3,M2,79.73,172
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,18.35,M2,46.62,172
10031538,DEMOLICION DE MATERIAL CERAMICO EN MURO,8.05,M2,43,172
10031542,DEMOLICION DE ZOCLO CERAMICOMARMOL O G,6.8,MTO,24.31,172
10031545,DEMOLICION DE CIELO FALSO DE TABLAROCA,18.5,M2,46.58,172
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,118.1,M2,37.24,172
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,130.15,M2,55.66,172
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,6,UND,296.14,172
10031552,DESINSTALACION PUERTAS DE ALUMINIO C/REC,1,UND,391.22,172
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,3,UND,155.39,172
10031555,DESINSTALACION PUERTAS DE MADERA C/RECU,11,UND,257.56,172
10031557,DESINST. DE SALIDA P/TELEFONOINCLUYE:,24,UND,61.73,172
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,4,UND,61.73,172
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,35,UND,65.18,172
10031562,DESINSTALACION DE LUMINARIA INCANDESCENT,21,UND,62.29,172
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,44,UND,124.54,172
10031564,DESINSTALACION DE CENTRO DE CARGA TIPO Q,4,UND,677.26,172
10031565,DESINSTALACION DE INTERRUPTOR GENERAL DE,12,UND,573.84,172
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,24,MTO,51.94,172
10031570,DESINSTALACION DE REJILLAS Y DIFUSORES C,5,UND,73.84,172
10031571,DESINSTALACION DE APARATOS SANITARIOS (I,2,UND,200.57,172
10031583,REUBICACION DE MODULO DE CAJA EXISTENTE,6,UND,803.8,172
10031584,DESMONTAJE DE EXTINTORES CON RECUPERACIO,1,UND,115.32,172
10031585,DESINST Y RETIRO DE ANUNCIO LUMIN. FACHA,2,MTO,802.89,172
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,6,UND,156.9,172
10031587,RETIRO DE SEÑALIZACION EN PUERTAS DE ACC,1,LE,153.52,172
10031588,RETIRO DE ANUNCIO DE SEÑALIZACION DETRAS,6,UND,189.47,172
10031591,DESINST. DE PIZARRON DE AVISOS CON RECUP,1,UND,182.29,172
10031592,DESINSTALACION DE TABLEROS ELECTRICOS EX,1,UND,507.5,172
10031596,DESINST DE TERMOSTATO C/RECUPERACION,1,UND,56.16,172
10031603,DESINSTALACION DE T.V. TIPO PLASMA,1,UND,620.15,172
10031605,DESINSTALACIÓN DE ANUNCIO ATM EN FACHADA,1,UND,450,172
10031610,DESMONTAJE DE PLAFON EN PLACAS CON RECUP,18,M2,41.5,172
10031611,DESCONECCION DE CAJERO AUTOMATICO,3,UND,638.73,172
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,3,UND,662.18,172
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,3,UND,483.09,172
10031615,DESINST. DE M. DE ACCESO CON RECUPERAC.,2,UND,1361.89,172
10031616,DESINST. DE M. METALICO A BASE T. RED.,2,UND,830.85,172
10031618,DESINST. DE CAJA FUERTE ROTARY CON RECUP,1,UND,958.3,172
10031619,DESINSTALACION DE FLECHA O MARQUESINA,1,UND,447.22,172
10031620,RANURADO DE FIRME DE CONC. SECC.05X10CMS,3,MTO,98.65,172
10031657,SYC DALA DE DESPLANTE 15X20cm,113.2,MTO,343.58,172
10031658,SYC CASTILLO 15x15cm DE CONCRETO,157.75,MTO,323.02,172
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,15,UND,128.95,172
10031662,SYCOL. CASTILLO 15x20cm C/ARMEX,126.85,MTO,347.97,172
10031705,SYCOC DE MURO DE TABLAROCA UNA CAR,134.85,M2,212.22,172
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,131.95,M2,306.97,172
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,64.3,M2,925.1,172
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,38.35,M2,228.79,172
10031710,FALDONPECHERACAJILLO 30 A 50cm DESAR,6.5,MTO,219,172
10031711,FALDONPECHERACAJILLO 51 A 80cm DESAR,8.8,MTO,262,172
10031712,FALDONPECHERACAJILLO 81 A 120cm DESA,16.85,MTO,341,172
10031719,SYCOL. DE DUROCK DOS CARAS DE 10cm,14.7,M2,608.26,172
10031720,SYCOL. DE CIELO FALSO DE DUROCK DE,8.15,M2,331.03,172
10031732,SYC PISO INTERCERAMIC DUSK BLANCO,60.6,M2,352,172
10031742,ZOCLO CERAMICO INTERCERAMIC 10X40cm,79.45,MTO,106,172
10031743,SYC  ZOCLO ALUMINIO LAMINADO DE  10 CM,4.5,MTO,236,172
10031748,SYAP PINTURA ESMALTE SUP. METALI,10.2,M2,117,172
10031752,SYAPLIC PINTURA INT BAN-IXE 0-4m SUP LIS,363.7,M2,47.41,172
10031755,SYAPLIC. PINTURA VINILICA EN CIELOS,165.05,M2,51,172
10031770,SYC  PANEL  TROVICEL  MCA PALIGHT DE 3MM,54.45,M2,768,172
10031775,SYC PUERTA TAMBOR MAD BANORTE,2,UND,5800,172
10031778,SUM E INST PUERTA DOBLE MADERA ESCLUSA,1,UND,1375,172
10031789,REHABILITACION PUERTAS RECUP. C/ LAMINAD,1,UND,1882.76,172
