PABLO LIVAS,,CR153,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031504,RELLENO CON MATERIAL DE BANCO PARA DAR N,3.75,M3,405.00,153
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,34.10,M2,117.93,153
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,120.00,M2,11.07,153
10031512,REUBICACION DE TAPIAL DE PROTECCION,24.00,M2,102.99,153
10031514,TAPIAL DE PROT. C/ CUBIERTA TRIPLAY PARA,139.30,M2,145.52,153
10031515,TRAZO Y NIVELACION DE TERRENO CON E. MAN,74.20,M2,7.69,153
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,29.45,M2,48.05,153
10031533,DEMOLICION MURO DE BLOCK HUECO 15X20X40,32.15,M2,79.73,153
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,35.95,M2,46.62,153
10031542,DEMOLICION DE ZOCLO CERAMICO MARMOL O G,3.20,MTO,24.31,153
10031545,DEMOLICION DE CIELO FALSO DE TABLAROCA,57.20,M2,46.58,153
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,97.00,M2,37.24,153
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1.00,UND,155.39,153
10031555,DESINSTALACION PUERTAS DE MADERA C/RECU,1.00,UND,257.56,153
10031557,DESINST. DE SALIDA P/TELEFONO INCLUYE:,8.00,UND,61.73,153
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,28.00,UND,61.73,153
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,17.00,UND,65.18,153
10031562,DESINSTALACION DE LUMINARIA INCANDESCENT,10.00,UND,62.29,153
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,7.00,UND,124.54,153
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,26.00,MTO,51.94,153
10031570,DESINSTALACION DE REJILLAS Y DIFUSORES C,6.00,UND,73.84,153
10031579,DEMOLICION BANQUETA DE CONCRETO 8cm PROM,4.15,M2,106.93,153
10031585,DESINST Y RETIRO DE ANUNCIO LUMIN. FACHA,2.00,MTO,802.89,153
10031605,DESINSTALACIÓN DE ANUNCIO ATM EN FACHADA,1.00,UND,450.00,153
10031611,DESCONECCION DE CAJERO AUTOMATICO,4.00,UND,638.73,153
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,4.00,UND,662.18,153
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,4.00,UND,483.09,153
10031616,DESINST. DE M. METALICO A BASE T. RED.,4.00,UND,830.85,153
10031619,DESINSTALACION DE FLECHA O MARQUESINA,1.00,UND,447.22,153
10031620,RANURADO DE FIRME DE CONC. SECC.05X10CMS,3.50,MTO,98.65,153
10031602,DESINST. DE CALCAMONIAS AUTOADHERIBLES,3.00,UND,308.02,153
10031621,DESINST DE CRISTAL TIPO SANDWICH 6MM.,1.00,UND,627.92,153
10031617,DESINSTALACION DE PUERTA DE BOVEDA,1.00,UND,1085.75,153
10031615,DESINST. DE M. DE ACCESO CON RECUPERAC.,1.00,UND,1361.89,153
10031616,DESINST. DE M. METALICO A BASE T. RED.,1.00,UND,830.85,153
10031596,DESINST DE TERMOSTATO C/RECUPERACION,1.00,UND,56.16,153
10031657,SYC DALA DE DESPLANTE 15X20cm,35.80,MTO,343.58,153
10031658,SYC CASTILLO 15x15cm DE CONCRETO,26.95,MTO,323.02,153
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,7.00,UND,128.95,153
10031662,SYCOL. CASTILLO 15x20cm C/ARMEX,33.90,MTO,347.97,153
10031665,SYC MURO DE BLOCK RELLENO15X20X40,81.85,M2,351.65,153
10031667,SYCOC MURO DE BLOCK 15X20X40cm,37.30,M2,269.27,153
10031680,CONST DE ESCALONES EXTERIORES DE CONCRET,13.70,MTO,342.33,153
10031681,SUM Y CONST RAMPA SOLIDA 12cm DE CONCRET,1.90,M2,536.50,153
10031672,SYCOL. DE ZARPEO Y AFINE EN LOSA,150.00,M2,139.66,153
10031658,SYC CASTILLO 15x15cm DE CONCRETO,26.95,MTO,323.02,153
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,17.00,UND,128.95,153
10031705,SYCOC DE MURO DE TABLAROCA UNA CAR,114.70,M2,212.22,153
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,116.70,M2,306.97,153
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,54.05,M2,925.10,153
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,41.45,M2,228.79,153
10031710,FALDON PECHERA CAJILLO 30 A 50cm DESAR,5.10,MTO,219.00,153
10031711,FALDON PECHERA CAJILLO 51 A 80cm DESAR,5.05,MTO,262.00,153
10031712,FALDON PECHERA CAJILLO 81 A 120cm DESA,14.60,MTO,341.00,153
10031719,SYCOL. DE DUROCK DOS CARAS DE 10cm,1.80,M2,608.26,153
,SUM Y COLOC. DE PANEL DE TABLAROCA UNA C,81.10,MTO,218.00,153
10031721,FALDON PECHERA CAJILLO 30A50cm DUROCK,19.00,MTO,239.81,153
10031722,FALDON PECHERA CAJILLO 51A80cm DUROCK,11.00,MTO,334.79,153
10031723,FALDON PECHERA CAJILLO 81A120cm DUROCK,11.00,MTO,458.73,153
10031732,SYC PISO INTERCERAMIC DUSK BLANCO,71.80,M2,352.00,153
10031742,ZOCLO CERAMICO INTERCERAMIC 10X40cm,57.45,MTO,106.00,153
10031743,SYC  ZOCLO ALUMINIO LAMINADO DE  10 CM,5.40,MTO,236.00,153
10031746,ACABADO MARTELINADO EN ELEMENT DE CONCRE,12.60,M2,255.44,153
10031747,ACABADO MARTELINADO EN REMATES DE PISO D,13.70,MTO,118.00,153
10031748,SYAP PINTURA ESMALTE SUP. METALI,10.15,M2,117.00,153
10031752,SYAPLIC PINTURA INT BAN-IXE 0-4m SUP LIS,291.30,M2,47.41,153
10031755,SYAPLIC. PINTURA VINILICA EN CIELOS,117.55,M2,51.00,153
10031770,SYC  PANEL  TROVICEL  MCA PALIGHT DE 3MM,32.10,M2,400.00,153
,SUM. Y COLOC. DE PISO  EN LOBBY DE CAJER,21.45,M2,519.00,153
,SUM. Y COLOC. DE ZOCLO  EN LOBBY DE CAJE,3.70,MTO,165.00,153
10031752,SYAPLIC PINTURA INT BAN-IXE 0-4m SUP LIS,139.70,M2,47.41,153
10031755,SYAPLIC. PINTURA VINILICA EN CIELOS,9.10,M2,51.00,153
10031847,      COLOCACION DE  PELICULA DE ESMERIL,27.45,UND,225.98,153
10022565,SUM Y COL PLAFON P/PATIO PUBLICO 61X61cm,12.85,M2,444.22,153
10022566,SUM Y COL PLAFON P/AREA SERVIC 61X122cm,39.40,M2,342.86,153
10031775,SYC PUERTA TAMBOR MAD BANORTE,1.00,UND,5800.00,153
10031786,FABRICACION DE MARCO SEÑALIZACION,1.00,UND,7650.00,153
10031792,SYC CHAMBRANA DE MADERA EN PUERTAS,20.40,MTO,126.00,153
10031796,SYC. DE TOPE DE PISO MCA. HAGER,2.00,UND,179.00,153
10031803,SYC CIERRAPUERTAS DORMA GRIS,2.00,UND,701.66,153
10031807,SYC CHAPA TESA  MOD. AC 80PD EIFEL,1.00,UND,1280.00,153
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1.00,UND,760.00,153
10031821,SYC DE COSTILLAS DE CRISTAL 9mm,6.00,MTO,268.92,153
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,24.30,M2,2440.00,153
10031838,SYC PELICULA SEGUR SECURE BL22,59.90,M2,1590.00,153
10031842,SYC DE TOPE DE PISO MEDIA LUNA,4.00,UND,95.30,153
10031848,      COL DE PELICULA DE ESMERILA 0.15,5.10,MTO,113.54,153
,SUM. Y COLOC. DE PUERTA DE ACCESO PRINCI,1.00,UND,25000.00,153
10031828,PERFIL ALUM P/SOPORTE DE CRISTAL SANDWIC,6.50,MTO,194.12,153
10031843,SYC CRISTAL 6mm  ARRIBA DE CAJAS,2.00,M2,1405.00,153
10031828,PERFIL ALUM P/SOPORTE DE CRISTAL SANDWIC,5.30,MTO,194.12,153
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",79.45,KG,35.50,153
10031861,SUM. FABRIC. Y COLOC. SOPORTE P/PANTALLA,1.00,UND,778.00,153
10031856,SYCOC PANELES DE ALUMINIO REYNOBON,2.00,M2,1818.00,153
10031639,SUM. HABIL. Y COLOC. ACERO REF /ESTRUCTU,154.00,KG,25.83,153
10031870,SYCOL. DE GANCHO DOBLE CROMADO MC,23.00,UND,343.00,153
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,29.00,SAL,805.00,153
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,23.00,SAL,1186.00,153
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,22.00,SAL,1234.00,153
10031887,SUM E INST DE SALIDA P/LETRERO LUMINOSO,1.00,SAL,1370.00,153
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,1.00,SAL,5100.00,153
10031892,SUM. E INST. DE SALIDA PARA FAN AND COIL,1.00,SAL,2500.00,153
10031890,SUM. E INST. ACOMETIDA ELECTRICA GENERAL,1.00,LE,18500.00,153
10031895,SYCOL. DE LUMINARIA SPOT CO1054B,1.00,UND,895.36,153
10031896,SUM. E INST. DE LUMINARIA DE EMERGENCIA,1.00,UND,1232.01,153
10031905,SYC REFLECTOR T-DIR CONSTRULITA RE1085BB,4.00,UND,735.00,153
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,10.00,UND,1350.00,153
10031897,SUM E INST LUMINARIA WALL PACK 175/220v,4.00,UND,3173.93,153
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,15.00,SAL,1150.00,153
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,298.00,KG,54.00,153
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",475.00,FT2,14.30,153
10031918,"SUM E INST DE DUCTO FLEXIBLE 8"" VERMONT",6.00,MTO,157.05,153
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",6.00,MTO,165.82,153
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",8.00,MTO,177.85,153
10031934,"SYCOL. DE DIFUSOR 4v. 9""x 9"" SIN",2.00,UND,648.39,153
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1.00,LE,2061.01,153
10031955,SUJECION DE REJILLAS DE RETORNO E INYECC,1.00,LE,1203.00,153
10031956,S. FABRIC Y COL CHAROLA DE LAMINA P/COND,1.00,UND,844.00,153
10031961,"SYC REJILLA  DE RETORNO 16""X14""",1.00,UND,469.08,153
10031947,SUM E INST DE DIFUSOR LINEAL 6FT INYECC,2.00,UND,1644.00,153
10031948,SUM E INST DE DIFUSOR LINEAL 6FT RETORNO,2.00,UND,1644.00,153
10031968,DESINST. DE PUERTA BLINDADA (POO PVT) C,1.00,UND,1534.00,153
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,2.00,UND,1809.00,153
10031985,COLOC. DE VENTANA BLINDADA Y ROTOTRANSFE,1.00,UND,1657.00,153
10031986,SUM. E INST. DE SALIDA DE SEGURIDAD INC,30.00,SAL,825.00,153
10031990,SUM Y COLOLOC. DE  GUARDAPOLVO P/PUERTA,2.00,UND,226.00,153
10032007,SUM Y FAB DE BANQUETA 8cm CONCRETO ESCOB,14.50,M2,215.00,153
10032010,SUM. Y FABRIC. DE SARDINEL DE CONCRETO F,9.20,MTO,135.00,153
10032023,COLOCACION DE SEÑALIZACION SUM/BANORTE,12.00,UND,106.67,153
10032031,COLOCACION DE CALCAMONIAS DE SEGURIDAD S,15.00,UND,54.40,153
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,3.00,JOR,893.00,153
10032033,COLOCACION DE EXTINGUIDORES EN MURO INC,1.00,UND,106.64,153
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1.00,LE,1115.00,153
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,3.00,JOR,893.00,153
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,2.00,UND,720.00,153
10032046,INST EQUIPO DIVIDIDO DE A. ACOND. 3 T.R.,1.00,UND,8150.00,153
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,1.00,UND,377.00,153
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,2.00,UND,448.00,153
10032049,INST DE EQ FAN AND COIL 1.5 TR  C/UNIDAD,1.00,UND,9550.00,153
10032053,SUM E INSTALACION DE CONTROL DE CLIMAS,1.00,LE,5775.00,153
