RODRIGO GOMEZ,,CR478,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,45.00,M2,117.93,478
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,100.00,M2,11.07,478
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,14.00,M2,48.05,478
10031532,DEMOLICION MURO BLOCK RELLENO 15X20X40,2.31,M2,119.97,478
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,12.19,M2,46.62,478
10031542,DEMOLICION DE ZOCLO CERAMICO MARMOL O G,4.60,MTO,24.31,478
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,9.50,M2,37.24,478
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,7.56,M2,55.66,478
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1.00,UND,155.39,478
10031558,DESINSTALACION DE APAGADORES PARA LUMINA,1.00,UND,61.73,478
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,4.00,UND,61.73,478
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,1.00,UND,65.18,478
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,2.00,UND,124.54,478
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,8.00,UND,156.90,478
10031619,DESINSTALACION DE FLECHA O MARQUESINA,1.00,UND,447.22,478
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,2.00,UND,61.73,478
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,2.00,UND,65.18,478
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,1.00,UND,124.54,478
10031655,SYC EMPASTADO  P/PISO,14.00,M2,119.00,478
10031657,SYC DALA DE DESPLANTE 15X20cm,26.40,MTO,343.58,478
10031658,SYC CASTILLO 15x15cm DE CONCRETO,51.20,MTO,323.02,478
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,19.00,UND,128.95,478
10031665,SYC MURO DE BLOCK RELLENO15X20X40,92.05,M2,351.65,478
10031701,RANURADO EN FIRME DE CONCRETO 5x10cms.,5.00,MTO,18.00,478
10031700,SYCOL. DE CERRAMIENTO 15 x 35cm,32.30,MTO,382.12,478
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,19.25,M2,306.97,478
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,15.00,M2,228.79,478
,COLOCACION DE HOJAS DE TABLAROCA ESTANDA,156.16,M2,218.00,478
10031742,ZOCLO CERAMICO INTERCERAMIC 10X40cm,56.00,MTO,106.00,478
10031743,SYC  ZOCLO ALUMINIO LAMINADO DE  10 CM,7.10,MTO,236.00,478
10031755,SYAPLIC. PINTURA VINILICA EN CIELOS,15.00,M2,51.00,478
10031761,SYAP PINTURA VINILICA GRIS EN MUR,193.50,M2,55.80,478
10031770,SYC  PANEL  TROVICEL  MCA PALIGHT DE 3MM,20.24,M2,400.00,478
,SUM. Y COLOC. DE PISO  EN LOBBY CAJEROS,45.00,M2,519.00,478
