TECNOLOGICO,,CR56,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,127.00,M2,117.93,56
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,100.00,M2,11.07,56
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,100.00,M2,48.05,56
10031532,DEMOLICION MURO BLOCK RELLENO 15X20X40,27.30,M2,119.97,56
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,21.40,M2,46.62,56
10031545,DEMOLICION DE CIELO FALSO DE TABLAROCA,42.50,M2,46.58,56
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,197.50,M2,37.24,56
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,33.26,M2,55.66,56
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,4.00,UND,296.14,56
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1.00,UND,155.39,56
10031555,DESINSTALACION PUERTAS DE MADERA C/RECU,1.00,UND,257.56,56
10031558,DESINSTALACION DE APAGADORES PARA LUMINA,22.00,UND,61.73,56
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,4.00,UND,61.73,56
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,29.00,UND,65.18,56
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,28.00,UND,124.54,56
10031582,DESMANTELAMIENTO DE MODULO DE CAJA C/REC,1.00,UND,1170.70,56
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,7.00,UND,156.90,56
10031596,DESINST DE TERMOSTATO C/RECUPERACION,2.00,UND,56.16,56
10031611,DESCONECCION DE CAJERO AUTOMATICO,2.00,UND,638.73,56
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,2.00,UND,662.18,56
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,2.00,UND,483.09,56
10031616,DESINST. DE M. METALICO A BASE T. RED.,2.00,UND,830.85,56
10031619,DESINSTALACION DE FLECHA O MARQUESINA,1.00,UND,447.22,56
10031564,DESINSTALACION DE CENTRO DE CARGA TIPO Q,5.00,UND,677.26,56
10031615,DESINST. DE M. DE ACCESO CON RECUPERAC.,1.00,UND,1361.89,56
10031595,DESINSTALACION DE ACOMETIDA TELEFONICA S,2.00,UND,444.98,56
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,2.00,UND,124.54,56
10031557,DESINST. DE SALIDA P/TELEFONO INCLUYE:,3.00,UND,61.73,56
10031603,DESINSTALACION DE T.V. TIPO PLASMA,1.00,UND,620.15,56
10031590,DESINSTALAC DE MODULOS DE PANEL DE TELA,1.00,UND,50.61,56
10031591,DESINST. DE PIZARRON DE AVISOS CON RECUP,1.00,UND,182.29,56
10031592,DESINSTALACION DE TABLEROS ELECTRICOS EX,1.00,UND,507.50,56
10031593,DESINSTALACION DE TIMER EXISTENTES CON R,1.00,UND,107.16,56
10031655,SYC EMPASTADO  P/PISO,10.00,M2,119.00,56
10031657,SYC DALA DE DESPLANTE 15X20cm,88.60,MTO,343.58,56
10031658,SYC CASTILLO 15x15cm DE CONCRETO,45.55,MTO,323.02,56
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,9.00,UND,128.95,56
10031665,SYC MURO DE BLOCK RELLENO15X20X40,33.41,M2,351.65,56
10031701,RANURADO EN FIRME DE CONCRETO 5x10cms.,5.00,MTO,18.00,56
10031700,SYCOL. DE CERRAMIENTO 15 x 35cm,11.21,MTO,382.12,56
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,5.44,M2,306.97,56
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,22.08,M2,925.10,56
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,10.00,M2,228.79,56
10031710,FALDON PECHERA CAJILLO 30 A 50cm DESAR,3.70,MTO,219.00,56
10031711,FALDON PECHERA CAJILLO 51 A 80cm DESAR,1.20,MTO,262.00,56
,COLOCACION DE HOJAS DE TABLAROCA ESTANDA,47.08,M2,218.00,56
10031742,ZOCLO CERAMICO INTERCERAMIC 10X40cm,29.80,MTO,106.00,56
10031743,SYC  ZOCLO ALUMINIO LAMINADO DE  10 CM,3.20,MTO,236.00,56
10031755,SYAPLIC. PINTURA VINILICA EN CIELOS,313.50,M2,51.00,56
10031761,SYAP PINTURA VINILICA GRIS EN MUR,358.06,M2,55.80,56
10031770,SYC  PANEL  TROVICEL  MCA PALIGHT DE 3MM,17.67,M2,400.00,56
,SUM. Y COLOC. DE PISO  EN LOBBY CAJEROS,120.00,M2,519.00,56
,SUM. Y COLOC DE ZOCLO DE 60x10 CM CON P,146.20,MTO,165.00,56
10022565,SUM Y COL PLAFON P/PATIO PUBLICO 61X61cm,42.00,M2,444.22,56
10022566,SUM Y COL PLAFON P/AREA SERVIC 61X122cm,111.00,M2,342.86,56
10031789,REHABILITACION PUERTAS RECUP. C/ LAMINAD,1.00,UND,1882.76,56
10031792,SYC CHAMBRANA DE MADERA EN PUERTAS,10.20,MTO,126.00,56
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1.00,UND,760.00,56
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,8.05,M2,2440.00,56
10031842,SYC DE TOPE DE PISO MEDIA LUNA,3.00,UND,95.30,56
,SUM. Y COLOC. DE PUERTA ACCESO SUCURSAL,2.00,UND,25000.00,56
10031828,PERFIL ALUM P/SOPORTE DE CRISTAL SANDWIC,4.80,MTO,194.12,56
10031856,SYCOC PANELES DE ALUMINIO REYNOBON,17.00,M2,1818.00,56
10031848,      COL DE PELICULA DE ESMERILA 0.15,1.00,MTO,113.54,56
10031842,SYC DE TOPE DE PISO MEDIA LUNA,2.00,UND,95.30,56
10031843,SYC CRISTAL 6mm  ARRIBA DE CAJAS,4.80,M2,1405.00,56
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,68.00,SAL,805.00,56
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,21.00,SAL,1186.00,56
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,24.00,SAL,1234.00,56
10031897,SUM E INST LUMINARIA WALL PACK 175/220v,2.00,UND,3173.93,56
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,16.00,UND,1350.00,56
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,23.00,SAL,1150.00,56
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,1335.00,KG,54.00,56
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",1289.00,FT2,14.30,56
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",16.00,MTO,165.82,56
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1.00,LE,2061.01,56
10031947,SUM E INST DE DIFUSOR LINEAL 6FT INYECC,12.00,UND,1644.00,56
10031948,SUM E INST DE DIFUSOR LINEAL 6FT RETORNO,13.00,UND,1644.00,56
10031949,SUM E INST DE DIFUSOR LINEAL 4FT RETORNO,12.00,UND,1146.50,56
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,12.00,UND,1809.00,56
10031987,REUBICACION DE SALIDA DE SEGURIDAD,35.00,UND,362.00,56
10031956,S. FABRIC Y COL CHAROLA DE LAMINA P/COND,1.00,UND,844.00,56
10032542,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,2.00,UND,1899.45,56
10032548,SUM. E INST. DE SALIDA DE SEGURIDAD INC,65.00,SAL,866.25,56
10031955,SUJECION DE REJILLAS DE RETORNO E INYECC,1.00,LE,1203.00,56
10032030,COLOC. DE CALCAMONIAS EN FACIAS Y CRISTA,10.00,UND,54.40,56
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,7.00,JOR,893.00,56
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1.00,LE,1115.00,56
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,7.00,JOR,893.00,56
10032041,FIJACION DE KIOSKO BANORTEL SUM/ BANORTE,1.00,UND,415.00,56
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,2.00,UND,720.00,56
10031847,      COLOCACION DE  PELICULA DE ESMERIL,16.50,UND,225.98,56
10032046,INST EQUIPO DIVIDIDO DE A. ACOND. 3 T.R.,1.00,UND,8150.00,56
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,2.00,UND,377.00,56
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,2.00,UND,448.00,56
